,playlist_name,track_name,artist_name,album_name,popularity,release_date,duration
0,artsy fartsy,Ivory Road,King Charles,LoveBlood,32,2012-01-01,236653
1,artsy fartsy,Love Lust,King Charles,LoveBlood,36,2012-01-01,178426
2,artsy fartsy,Cannibal Queen,Miniature Tigers,Tell It To The Volcano,0,2009-12-22,164386
3,artsy fartsy,Hot Venom,Miniature Tigers,Tell It To The Volcano,0,2009-12-22,170520
4,artsy fartsy,Wooly Mammoth,Local Natives,Hummingbird,24,2013-01-29,206746
5,artsy fartsy,Sticky Thread,Local Natives,Gorilla Manor,24,2010-02-16,228813
6,artsy fartsy,Sun It Rises,Fleet Foxes,Fleet Foxes,0,2008-06-03,191493
7,artsy fartsy,Oliver James,Fleet Foxes,Fleet Foxes,0,2008-06-03,203880
8,artsy fartsy,January Hymn,The Decemberists,The King Is Dead,39,2011-01-18,192400
9,artsy fartsy,Ocean Breathes Salty,Modest Mouse,Good News For People Who Love Bad News,55,2004-04-05,224333
10,artsy fartsy,In the Aeroplane Over the Sea,Neutral Milk Hotel,In the Aeroplane Over the Sea,0,1998-02-20,202346
11,artsy fartsy,King of Carrot Flowers Pt. 1,Neutral Milk Hotel,In the Aeroplane Over the Sea,0,1998-02-20,120426
12,artsy fartsy,"Holland, 1945",Neutral Milk Hotel,In the Aeroplane Over the Sea,0,1998-02-20,192533
13,artsy fartsy,Ain't It Strange,Dr. Dog,We All Belong,0,2006,268360
14,artsy fartsy,From,Dr. Dog,Fate,0,2008-07-22,279160
15,artsy fartsy,"The Rabbit, the Bat, & the Reindeer",Dr. Dog,Fate,0,2008-07-22,209133
16,artsy fartsy,I'll Be Your Coffin,Kahoots,Fourteen Ghosts,0,2006-04-25,115120
17,artsy fartsy,Hollywood Forever Cemetery Sings,Father John Misty,Fear Fun,0,2012-05-01,190613
18,artsy fartsy,I Think U Are Great,Yellow Ostrich,The Mistress,0,2010,81375
19,artsy fartsy,WHALE,Yellow Ostrich,The Mistress,0,2010,224457
20,artsy fartsy,San Francisco,Foxygen,We Are the 21st Century Ambassadors of Peace & Magic,0,2013-01-22,227906
21,artsy fartsy,Shuggie,Foxygen,We Are the 21st Century Ambassadors of Peace & Magic,1,2013-01-22,201706
22,artsy fartsy,My Girls,Animal Collective,Merriweather Post Pavilion,0,2009-01-20,340786
23,artsy fartsy,The Breeze,Dr. Dog,Fate,0,2008-07-22,239093
24,When you need it,Here Comes the Sun,Nina Simone,Here Comes The Sun (Expanded Edition),55,1971,214093
25,When you need it,Helplessness Blues,Fleet Foxes,Helplessness Blues,0,2011-05-03,303386
26,When you need it,In the Embers,Sleeping At Last,Atlas: I,37,2014-07-08,238376
27,When you need it,It Could Be So (Bonus Track),Born Ruffians,RUFF (Deluxe Version),0,2016-04-22,129725
