,playlist_name,variable,value
0,Apt. 435,acousticness,0.6761538461538461
1,Dancing slowly in a vast room,acousticness,0.7876428571428571
2,Heavy Feeling,acousticness,0.726235
3,Introducing:,acousticness,0.86925
4,Lina's Country Classics,acousticness,0.3050814
5,Lina's happy-ish love songs,acousticness,0.3661053469387755
6,Momma,acousticness,0.44343655172413793
7,Re-education pt. 1,acousticness,0.19696588888888888
8,Re-education pt. 2,acousticness,0.11222399999999999
9,Re-education pt. 3,acousticness,0.6269958333333333
10,Re-education pt. 4,acousticness,0.19157142857142856
11,Re-education: Bob Dylan,acousticness,0.702875
12,When you need it,acousticness,0.43022857142857146
13,You are safe,acousticness,0.807125
14,a love letter to little me,acousticness,0.09336293448275862
15,artsy fartsy,acousticness,0.3401458333333333
16,coming of age online,acousticness,0.438284
17,current nov22,acousticness,0.5749166666666666
18,doin' the naughty,acousticness,0.2312511111111111
19,don't worry about it,acousticness,0.284505
20,"dont worry, you're doing just fine",acousticness,0.30131153846153846
21,flerw,acousticness,0.4867590666666667
22,hang on little tomato,acousticness,0.5267000000000001
23,i'd make u up,acousticness,0.1903198923076923
24,looking for a savior,acousticness,0.58925
25,our first dance,acousticness,0.858
26,sing me to sleep,acousticness,0.788125
27,songs that break my heart,acousticness,0.5578913043478261
28,to my future daughter or son,acousticness,0.6617500000000001
29,wedding playlist 2,acousticness,0.0872877
30,when you realize you’re both in love,acousticness,0.4731466666666667
31,you're so stinkin' cute!!,acousticness,0.4975
32,Apt. 435,danceability,0.4778461538461539
33,Dancing slowly in a vast room,danceability,0.4557857142857143
34,Heavy Feeling,danceability,0.5166666666666667
35,Introducing:,danceability,0.462375
36,Lina's Country Classics,danceability,0.59668
37,Lina's happy-ish love songs,danceability,0.5698367346938775
38,Momma,danceability,0.5394137931034483
39,Re-education pt. 1,danceability,0.6235
40,Re-education pt. 2,danceability,0.7283999999999999
41,Re-education pt. 3,danceability,0.555125
42,Re-education pt. 4,danceability,0.7027142857142856
43,Re-education: Bob Dylan,danceability,0.528625
44,When you need it,danceability,0.40971428571428575
45,You are safe,danceability,0.403625
46,a love letter to little me,danceability,0.6071034482758622
47,artsy fartsy,danceability,0.5227541666666666
48,coming of age online,danceability,0.5242220000000001
49,current nov22,danceability,0.57775
50,doin' the naughty,danceability,0.5484444444444444
51,don't worry about it,danceability,0.5199
52,"dont worry, you're doing just fine",danceability,0.5374615384615384
53,flerw,danceability,0.6190666666666667
54,hang on little tomato,danceability,0.43798888888888887
55,i'd make u up,danceability,0.49285384615384614
56,looking for a savior,danceability,0.5107
57,our first dance,danceability,0.475
58,sing me to sleep,danceability,0.5105
59,songs that break my heart,danceability,0.5265217391304348
60,to my future daughter or son,danceability,0.308
61,wedding playlist 2,danceability,0.5445
62,when you realize you’re both in love,danceability,0.4852222222222222
63,you're so stinkin' cute!!,danceability,0.59
64,Apt. 435,energy,0.3503923076923077
65,Dancing slowly in a vast room,energy,0.2827857142857143
66,Heavy Feeling,energy,0.3263333333333333
67,Introducing:,energy,0.272875
68,Lina's Country Classics,energy,0.6418
69,Lina's happy-ish love songs,energy,0.5353469387755102
70,Momma,energy,0.4848965517241379
71,Re-education pt. 1,energy,0.614388888888889
72,Re-education pt. 2,energy,0.6972
73,Re-education pt. 3,energy,0.4706416666666667
74,Re-education pt. 4,energy,0.5625714285714285
75,Re-education: Bob Dylan,energy,0.38792916666666666
76,When you need it,energy,0.4372857142857143
77,You are safe,energy,0.342125
78,a love letter to little me,energy,0.7961379310344828
79,artsy fartsy,energy,0.6048791666666666
80,coming of age online,energy,0.540898
81,current nov22,energy,0.3572916666666666
82,doin' the naughty,energy,0.55
83,don't worry about it,energy,0.56613
84,"dont worry, you're doing just fine",energy,0.5322538461538462
85,flerw,energy,0.48196666666666665
86,hang on little tomato,energy,0.43333333333333335
87,i'd make u up,energy,0.7463076923076923
88,looking for a savior,energy,0.3493
89,our first dance,energy,0.261
90,sing me to sleep,energy,0.34075
91,songs that break my heart,energy,0.4031304347826087
92,to my future daughter or son,energy,0.3052
93,wedding playlist 2,energy,0.7685000000000001
94,when you realize you’re both in love,energy,0.5207777777777777
95,you're so stinkin' cute!!,energy,0.536875
96,Apt. 435,instrumentalness,0.0381074
97,Dancing slowly in a vast room,instrumentalness,0.16218128571428572
98,Heavy Feeling,instrumentalness,0.17496748055555555
99,Introducing:,instrumentalness,0.12535760375
100,Lina's Country Classics,instrumentalness,0.0005051196
101,Lina's happy-ish love songs,instrumentalness,0.013331492244897958
102,Momma,instrumentalness,0.007773428275862069
103,Re-education pt. 1,instrumentalness,0.057632968888888886
104,Re-education pt. 2,instrumentalness,0.18334001400000002
105,Re-education pt. 3,instrumentalness,0.05314063333333333
106,Re-education pt. 4,instrumentalness,2.4485714285714286e-05
107,Re-education: Bob Dylan,instrumentalness,0.008345270833333333
108,When you need it,instrumentalness,0.01917216142857143
109,You are safe,instrumentalness,0.059805327500000005
110,a love letter to little me,instrumentalness,0.0003539437931034482
111,artsy fartsy,instrumentalness,0.11130716458333334
112,coming of age online,instrumentalness,0.086173874
113,current nov22,instrumentalness,0.030949236666666668
114,doin' the naughty,instrumentalness,0.10450584111111111
115,don't worry about it,instrumentalness,0.0015846370000000003
116,"dont worry, you're doing just fine",instrumentalness,0.0012381923076923078
117,flerw,instrumentalness,0.05845309466666666
118,hang on little tomato,instrumentalness,0.1038883488888889
119,i'd make u up,instrumentalness,0.09577347076923076
120,looking for a savior,instrumentalness,0.030820208999999998
121,our first dance,instrumentalness,0.000262
122,sing me to sleep,instrumentalness,0.07153698625
123,songs that break my heart,instrumentalness,0.015885394347826088
124,to my future daughter or son,instrumentalness,0.09987256
125,wedding playlist 2,instrumentalness,0.00804531
126,when you realize you’re both in love,instrumentalness,0.004665618888888889
127,you're so stinkin' cute!!,instrumentalness,0.211634635
128,Apt. 435,liveness,0.13374615384615385
129,Dancing slowly in a vast room,liveness,0.13542857142857143
130,Heavy Feeling,liveness,0.1094611111111111
131,Introducing:,liveness,0.1287125
132,Lina's Country Classics,liveness,0.169344
133,Lina's happy-ish love songs,liveness,0.1458204081632653
134,Momma,liveness,0.16859310344827586
135,Re-education pt. 1,liveness,0.17991666666666667
136,Re-education pt. 2,liveness,0.11242
137,Re-education pt. 3,liveness,0.21148333333333333
138,Re-education pt. 4,liveness,0.12206428571428572
139,Re-education: Bob Dylan,liveness,0.14689166666666667
140,When you need it,liveness,0.19925714285714285
141,You are safe,liveness,0.202625
142,a love letter to little me,liveness,0.21113793103448278
143,artsy fartsy,liveness,0.27610416666666665
144,coming of age online,liveness,0.159574
145,current nov22,liveness,0.16272083333333334
146,doin' the naughty,liveness,0.17881111111111114
147,don't worry about it,liveness,0.16343999999999997
148,"dont worry, you're doing just fine",liveness,0.15379230769230767
149,flerw,liveness,0.10711333333333334
150,hang on little tomato,liveness,0.14347777777777776
151,i'd make u up,liveness,0.23404615384615385
152,looking for a savior,liveness,0.18056
153,our first dance,liveness,0.122
154,sing me to sleep,liveness,0.1579375
155,songs that break my heart,liveness,0.1033391304347826
156,to my future daughter or son,liveness,0.097375
