,playlist_name,genre,count
0,artsy fartsy,folk-pop,2
1,artsy fartsy,shimmer pop,4
2,artsy fartsy,stomp and holler,13
3,artsy fartsy,indie pop,10
4,artsy fartsy,modern rock,11
5,artsy fartsy,indie rock,17
6,artsy fartsy,la indie,2
7,artsy fartsy,chamber pop,7
8,artsy fartsy,folk,2
9,artsy fartsy,indie folk,7
10,artsy fartsy,seattle indie,2
11,artsy fartsy,alternative rock,6
12,artsy fartsy,anti-folk,4
13,artsy fartsy,baroque pop,3
14,artsy fartsy,modern folk rock,5
15,artsy fartsy,pop rock,1
16,artsy fartsy,double drumming,1
17,artsy fartsy,rock,5
18,artsy fartsy,washington indie,1
19,artsy fartsy,elephant 6,3
20,artsy fartsy,lo-fi,3
21,artsy fartsy,philly indie,4
22,artsy fartsy,experimental pop,3
23,artsy fartsy,indie garage rock,2
24,artsy fartsy,neo-psychedelic,2
25,artsy fartsy,art pop,1
26,artsy fartsy,baltimore indie,1
27,artsy fartsy,dream pop,1
28,artsy fartsy,freak folk,1
29,artsy fartsy,new rave,1
30,artsy fartsy,noise pop,1
31,When you need it,jazz blues,1
32,When you need it,soul,1
33,When you need it,soul jazz,1
34,When you need it,torch song,1
35,When you need it,vocal jazz,1
36,When you need it,chamber pop,2
37,When you need it,folk,1
38,When you need it,indie folk,1
39,When you need it,indie pop,2
40,When you need it,indie rock,2
41,When you need it,seattle indie,1
42,When you need it,stomp and holler,2
43,When you need it,ambient worship,1
44,When you need it,pop,2
45,When you need it,canadian indie,1
46,When you need it,toronto indie,1
47,When you need it,british singer-songwriter,1
48,When you need it,gospel,1
49,When you need it,ccm,1
50,When you need it,christian music,1
51,When you need it,world worship,1
52,When you need it,worship,1
53,don't worry about it,ambient folk,1
54,don't worry about it,british singer-songwriter,1
55,don't worry about it,indie folk,2
56,don't worry about it,indiecoustica,1
57,don't worry about it,lds,1
58,don't worry about it,lilith,2
59,don't worry about it,folk-pop,1
60,don't worry about it,neo mellow,2
61,don't worry about it,acoustic rock,1
62,don't worry about it,folk punk,1
63,don't worry about it,pop rock,2
64,don't worry about it,post-grunge,1
65,don't worry about it,acoustic pop,1
66,don't worry about it,indie pop,2
67,don't worry about it,stomp and holler,3
68,don't worry about it,modern alternative rock,1
69,don't worry about it,modern rock,2
70,don't worry about it,rock,1
71,don't worry about it,chillwave,1
72,don't worry about it,indie rock,2
73,don't worry about it,philly indie,1
74,don't worry about it,shimmer pop,1
75,don't worry about it,canadian indie,1
76,don't worry about it,toronto indie,1
77,i'd make u up,garage rock,1
78,i'd make u up,modern rock,8
79,i'd make u up,permanent wave,2
80,i'd make u up,rock,5
81,i'd make u up,sheffield indie,1
82,i'd make u up,canadian indie,3
83,i'd make u up,indie pop,3
84,i'd make u up,indie rock,11
85,i'd make u up,stomp and holler,5
86,i'd make u up,toronto indie,2
87,i'd make u up,baroque pop,2
88,i'd make u up,alternative dance,1
89,i'd make u up,alternative rock,5
90,i'd make u up,art pop,1
91,i'd make u up,atlanta indie,1
92,i'd make u up,chillwave,1
93,i'd make u up,dream pop,1
94,i'd make u up,experimental rock,1
95,i'd make u up,garage psych,1
96,i'd make u up,modern alternative rock,1
97,i'd make u up,neo-psychedelic,1
98,i'd make u up,new rave,1
99,i'd make u up,noise pop,1
100,i'd make u up,noise rock,1
101,i'd make u up,shoegaze,1
102,i'd make u up,indie folk,1
103,i'd make u up,modern folk rock,1
104,i'd make u up,philly indie,1
105,i'd make u up,anti-folk,1
106,i'd make u up,chamber pop,2
107,i'd make u up,elephant 6,1
108,i'd make u up,lo-fi,1
109,i'd make u up,boston rock,1
110,i'd make u up,quebec indie,1
111,flerw,alternative r&b,9
112,flerw,chicago rap,9
113,flerw,escape room,10
114,flerw,hip hop,14
115,flerw,indie soul,9
116,flerw,neo soul,9
117,flerw,rap,13
118,flerw,underground hip hop,11
119,flerw,psychedelic hip hop,1
120,flerw,tennessee hip hop,1
121,flerw,alternative hip hop,1
122,flerw,detroit hip hop,1
123,flerw,atl hip hop,2
124,flerw,pop,2
125,flerw,milwaukee hip hop,2
126,flerw,jazz rap,1
127,flerw,indie jazz,1
128,flerw,indie hip hop,1
129,you're so stinkin' cute!!,modern alternative rock,1
130,you're so stinkin' cute!!,modern rock,2
131,you're so stinkin' cute!!,pop,1
132,you're so stinkin' cute!!,rock,2
133,you're so stinkin' cute!!,indie pop,1
134,you're so stinkin' cute!!,metropopolis,1
135,you're so stinkin' cute!!,indie folk,3
136,you're so stinkin' cute!!,indie rock,1
137,you're so stinkin' cute!!,modern folk rock,1
138,you're so stinkin' cute!!,philly indie,1
139,you're so stinkin' cute!!,stomp and holler,2
140,you're so stinkin' cute!!,canadian indie,1
141,you're so stinkin' cute!!,vancouver indie,1
142,you're so stinkin' cute!!,nashville indie,1
143,you're so stinkin' cute!!,acoustic pop,1
144,you're so stinkin' cute!!,neo mellow,2
145,you're so stinkin' cute!!,new americana,1
146,you're so stinkin' cute!!,scottish singer-songwriter,1
147,hang on little tomato,baroque pop,2
148,hang on little tomato,indie rock,4
149,hang on little tomato,modern rock,3
150,hang on little tomato,rock,3
151,hang on little tomato,alternative rock,1
152,hang on little tomato,anti-folk,1
153,hang on little tomato,chamber pop,1
154,hang on little tomato,elephant 6,1
155,hang on little tomato,indie pop,3
156,hang on little tomato,lo-fi,1
157,hang on little tomato,canadian indie,1
158,hang on little tomato,stomp and holler,3
159,hang on little tomato,toronto indie,1
160,hang on little tomato,modern alternative rock,1
161,hang on little tomato,pop,1
162,hang on little tomato,british singer-songwriter,1
163,hang on little tomato,folk-pop,1
164,hang on little tomato,indie folk,2
165,hang on little tomato,neo mellow,2
166,hang on little tomato,lounge,1
167,hang on little tomato,vocal jazz,1
168,hang on little tomato,acoustic pop,1
169,hang on little tomato,lilith,2
170,hang on little tomato,pop rock,1
171,hang on little tomato,boston folk,1
172,songs that break my heart,anti-folk,4
173,songs that break my heart,chamber pop,4
174,songs that break my heart,indie pop,8
