,Unnamed: 0,playlist_name,track_name,artist_name,album_name,popularity,release_date,duration
0,0,artsy fartsy,Ivory Road,King Charles,LoveBlood,32,2012,236653
1,1,artsy fartsy,Love Lust,King Charles,LoveBlood,36,2012,178426
2,2,artsy fartsy,Cannibal Queen,Miniature Tigers,Tell It To The Volcano,0,2009,164386
3,3,artsy fartsy,Hot Venom,Miniature Tigers,Tell It To The Volcano,0,2009,170520
4,4,artsy fartsy,Wooly Mammoth,Local Natives,Hummingbird,24,2013,206746
5,5,artsy fartsy,Sticky Thread,Local Natives,Gorilla Manor,24,2010,228813
6,6,artsy fartsy,Sun It Rises,Fleet Foxes,Fleet Foxes,0,2008,191493
7,7,artsy fartsy,Oliver James,Fleet Foxes,Fleet Foxes,0,2008,203880
8,8,artsy fartsy,January Hymn,The Decemberists,The King Is Dead,39,2011,192400
9,9,artsy fartsy,Ocean Breathes Salty,Modest Mouse,Good News For People Who Love Bad News,55,2004,224333
10,10,artsy fartsy,In the Aeroplane Over the Sea,Neutral Milk Hotel,In the Aeroplane Over the Sea,0,1998,202346
11,11,artsy fartsy,King of Carrot Flowers Pt. 1,Neutral Milk Hotel,In the Aeroplane Over the Sea,0,1998,120426
12,12,artsy fartsy,"Holland, 1945",Neutral Milk Hotel,In the Aeroplane Over the Sea,0,1998,192533
13,13,artsy fartsy,Ain't It Strange,Dr. Dog,We All Belong,0,2006,268360
14,14,artsy fartsy,From,Dr. Dog,Fate,0,2008,279160
15,15,artsy fartsy,"The Rabbit, the Bat, & the Reindeer",Dr. Dog,Fate,0,2008,209133
16,16,artsy fartsy,I'll Be Your Coffin,Kahoots,Fourteen Ghosts,0,2006,115120
17,17,artsy fartsy,Hollywood Forever Cemetery Sings,Father John Misty,Fear Fun,0,2012,190613
18,18,artsy fartsy,I Think U Are Great,Yellow Ostrich,The Mistress,0,2010,81375
19,19,artsy fartsy,WHALE,Yellow Ostrich,The Mistress,0,2010,224457
20,20,artsy fartsy,San Francisco,Foxygen,We Are the 21st Century Ambassadors of Peace & Magic,0,2013,227906
21,21,artsy fartsy,Shuggie,Foxygen,We Are the 21st Century Ambassadors of Peace & Magic,1,2013,201706
22,22,artsy fartsy,My Girls,Animal Collective,Merriweather Post Pavilion,0,2009,340786
23,23,artsy fartsy,The Breeze,Dr. Dog,Fate,0,2008,239093
24,24,When you need it,Here Comes the Sun,Nina Simone,Here Comes The Sun (Expanded Edition),55,1971,214093
25,25,When you need it,Helplessness Blues,Fleet Foxes,Helplessness Blues,0,2011,303386
26,26,When you need it,In the Embers,Sleeping At Last,Atlas: I,37,2014,238376
27,27,When you need it,It Could Be So (Bonus Track),Born Ruffians,RUFF (Deluxe Version),0,2016,129725
28,28,When you need it,There Is a Dark Place,Tom Rosenthal,Keep a Private Room Behind the Shop,0,2011,214000
29,29,When you need it,Withholding Nothing,William McDowell,Withholding Nothing,0,2013,279213
30,30,When you need it,To My Knees - Live,Hillsong Young & Free,Youth Revival (Live),39,2016,473293
31,31,don't worry about it,Prologue,Keaton Henson,Dear,22,2010,79413
32,32,don't worry about it,Anchor,Mindy Gledhill,Anchor,0,2010,193746
33,33,don't worry about it,Patient Love - Acoustic,Passenger,All the Little Lights,0,2012,199106
34,34,don't worry about it,Kill Monsters In The Rain,Steel Train,Trampoline,0,2007,237933
35,35,don't worry about it,To Take You Home,Frank Turner,Love Ire & Song,24,2009,229133
36,36,don't worry about it,The Freshmen,The Verve Pipe,Villains,61,1996,269466
37,37,don't worry about it,I Was Made For Sunny Days,The Weepies,Be My Thrill,0,2010,193506
38,38,don't worry about it,I Got,Young the Giant,Young The Giant,32,2011,259773
39,39,don't worry about it,Good As New,Vacationer,Gone,45,2012,204031
40,40,don't worry about it,I Need A Life,Born Ruffians,"Red, Yellow & Blue",31,2008,206626
41,41,i'd make u up,When The Sun Goes Down,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",0,2006,202013
42,42,i'd make u up,Hummingbird,Born Ruffians,"Red, Yellow & Blue",38,2008,188013
43,43,i'd make u up,Cape Cod Kwassa Kwassa,Vampire Weekend,Vampire Weekend,0,2008,214706
44,44,i'd make u up,Nothing Ever Happened,Deerhunter,Microcastle,33,2008,350920
45,45,i'd make u up,Stranger,Dr. Dog,"Shame, Shame (Deluxe Edition)",34,2010,223880
46,46,i'd make u up,Excuses,The Morning Benders,Big Echo,0,2010,317426
47,47,i'd make u up,"Holland, 1945",Neutral Milk Hotel,In the Aeroplane Over the Sea,0,1998,192533
48,48,i'd make u up,In A Mirror,Born Ruffians,"Red, Yellow & Blue",19,2008,184440
49,49,i'd make u up,Where Is My Mind?,Pixies,Death To The Pixies,0,1997,231666
50,50,i'd make u up,Cold War,The Morning Benders,Big Echo,0,2010,104133
51,51,i'd make u up,Heaven,The Walkmen,Heaven,48,2012,262293
52,52,i'd make u up,White Sky,Vampire Weekend,Contra,0,2010,178666
53,53,i'd make u up,You Are A Runner And I Am My Father's Son,Wolf Parade,Apologies To The Queen Mary,0,2005,174960
54,54,flerw,Diddy Bop (feat. Cam O'bi & Raury),Noname,Telefone,26,2016,208000
55,55,flerw,Diddy Bop (feat. Cam O'bi & Raury),Cam O'bi,Telefone,26,2016,208000
56,56,flerw,Diddy Bop (feat. Cam O'bi & Raury),Raury,Telefone,26,2016,208000
57,57,flerw,4r Da Squaw,Isaiah Rashad,The Sun's Tirade,60,2016,232571
58,58,flerw,Detroit Madness (Instrumental),J Dilla,Rebirth Of Detroit Instrumentals,0,2014,201711
59,59,flerw,Sunny Duet (feat. the Mind),Noname,Telefone,18,2016,162490
60,60,flerw,Sunny Duet (feat. the Mind),The Mind,Telefone,18,2016,162490
61,61,flerw,Casket Pretty,Noname,Telefone,10,2016,110503
